--- Decision Tree Classifier ---
train accuracy: 0.709 validate accuracy: 0.6
--- Bagging Tree Classifier ---
n_estimators: 15
train accuracy: 0.731 validate accuracy: 0.61
--- Random Forest Classifier ---
9 18 0.939 0.59
9 19 0.926 0.5925
9 20 0.926 0.6025
9 21 0.94 0.58
9 22 0.929 0.5975
9 23 0.926 0.58
9 24 0.949 0.5875
9 25 0.943 0.6075
9 26 0.941 0.6
9 27 0.933 0.605
9 28 0.936 0.6075
9 29 0.943 0.59
10 1 0.767 0.565
10 2 0.851 0.545
10 3 0.872 0.5725
10 4 0.889 0.56
10 5 0.918 0.6125
10 6 0.929 0.5775
10 7 0.927 0.5775
10 8 0.932 0.605
10 9 0.939 0.5525
10 10 0.932 0.5725
10 11 0.938 0.5925
10 12 0.94 0.6225
10 13 0.931 0.585
10 14 0.941 0.5525
10 15 0.961 0.5825
10 16 0.943 0.5725
10 17 0.948 0.57
10 18 0.949 0.5775
10 19 0.966 0.5975
10 20 0.963 0.6025
10 21 0.968 0.5875
10 22 0.964 0.5725
10 23 0.963 0.585
10 24 0.963 0.5975
10 25 0.959 0.59
10 26 0.959 0.59
10 27 0.963 0.5975
10 28 0.974 0.6
10 29 0.97 0.5925
11 1 0.793 0.525
11 2 0.812 0.5275
11 3 0.895 0.5375
11 4 0.905 0.5675
11 5 0.924 0.545
11 6 0.918 0.5875
11 7 0.932 0.5925
11 8 0.947 0.57
11 9 0.938 0.57
11 10 0.96 0.5925
11 11 0.973 0.5825
11 12 0.956 0.5775
11 13 0.967 0.6125
11 14 0.961 0.565
11 15 0.974 0.57
11 16 0.965 0.59
11 17 0.969 0.585
11 18 0.975 0.56
11 19 0.978 0.5925
11 20 0.98 0.5775
11 21 0.98 0.6025
11 22 0.978 0.5875
11 23 0.97 0.5925
11 24 0.972 0.565
11 25 0.971 0.5775
11 26 0.984 0.6
11 27 0.988 0.6075
11 28 0.991 0.585
11 29 0.982 0.61
12 1 0.819 0.54
12 2 0.833 0.5875
12 3 0.89 0.56
12 4 0.913 0.54
12 5 0.937 0.525
12 6 0.938 0.5375
12 7 0.959 0.605
12 8 0.962 0.555
12 9 0.964 0.5825
12 10 0.963 0.58
12 11 0.963 0.5775
12 12 0.976 0.5875
12 13 0.983 0.565
12 14 0.976 0.5775
12 15 0.98 0.575
12 16 0.982 0.595
12 17 0.977 0.58
12 18 0.986 0.5775
12 19 0.985 0.5725
12 20 0.984 0.6
12 21 0.98 0.575
12 22 0.992 0.595
12 23 0.989 0.6
12 24 0.986 0.57
12 25 0.996 0.585
12 26 0.995 0.5775
12 27 0.994 0.575
12 28 0.991 0.5775
12 29 0.992 0.59
13 1 0.818 0.56
13 2 0.845 0.55
13 3 0.907 0.5525
13 4 0.914 0.5825
13 5 0.937 0.535
13 6 0.96 0.56
13 7 0.964 0.5825
